@RELATION 'Shuttle, without duplicates, with normalization, v01'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
0.214285714,0.607954545,0.127659574,0.020145495,0.207865169,0.088428013,0.347222222,0.746875,0.737113402,1362,'yes'
0.085714286,0.607954545,0.127659574,0.020145495,0.207865169,0.088428013,0.458333333,0.746875,0.716494845,1808,'yes'
0.2,0.607954545,0.127659574,0.020145495,0.06741573,0.088428013,0.361111111,0.9125,0.871134021,2798,'yes'
0.085714286,0.602272727,0.127659574,0.020145495,0.207865169,0.088428013,0.472222222,0.746875,0.716494845,4765,'yes'
0.185714286,0.653409091,0.127659574,0.020145495,0.06741573,0.088428013,0.375,0.9125,0.865979381,4801,'yes'
0.171428571,0.732954545,0.127659574,0.020145495,0.06741573,0.088428013,0.388888889,0.9125,0.865979381,5744,'yes'
0.2,0.602272727,0.127659574,0.020145495,0.207865169,0.088428013,0.347222222,0.746875,0.737113402,7082,'yes'
0.085714286,0.607954545,0.127659574,0.020145495,0.207865169,0.088428013,0.472222222,0.746875,0.716494845,7530,'yes'
0.3,1,0.191489362,0.020145495,0.224719101,0.088428013,0.305555556,0.740625,0.742268041,8186,'yes'
0.114285714,0.630681818,0.127659574,0.020145495,0.207865169,0.088428013,0.444444444,0.746875,0.721649485,9932,'yes'
0.185714286,0.602272727,0.170212766,0.020145495,0.247191011,0.088428013,0.402777778,0.7125,0.701030928,10532,'yes'
0.4,0.920454545,0.234042553,0.020145495,0.011235955,0.088067328,0.236111111,0.990625,0.958762887,10946,'yes'
0.157142857,0.602272727,0.170212766,0.020145495,0.247191011,0.088428013,0.416666667,0.7125,0.695876289,14178,'yes'
0.185714286,0.460227273,0.276595745,0.020145495,0.258426966,0.087225729,0.472222222,0.7125,0.68556701,3582,'no'
0.557142857,0.494318182,0.170212766,0.021824287,0.011235955,0.088428013,0.041666667,0.98125,0.989690722,11862,'no'
0.014285714,0.477272727,0.191489362,0.020145495,0.146067416,0.087285843,0.583333333,0.83125,0.762886598,14257,'no'
0.642857143,0.477272727,0.276595745,0.023503078,0.08988764,0.087706643,0.041666667,0.909375,0.927835052,10390,'no'
0.685714286,0.477272727,0.361702128,0.020145495,0.129213483,0.089269612,0.027777778,0.871875,0.896907216,13246,'no'
0.071428571,0.488636364,0.106382979,0.020145495,0.247191011,0.088788699,0.458333333,0.703125,0.680412371,4480,'no'
0.028571429,0.482954545,0.723404255,0.020145495,0.224719101,0.088428013,0.916666667,0.81875,0.690721649,12302,'no'
0.614285714,0.477272727,0.255319149,0.020145495,0.02247191,0.088428013,0.041666667,0.978125,0.984536082,6548,'no'
0.214285714,0.477272727,0.276595745,0.020145495,0.269662921,0.087646528,0.458333333,0.70625,0.68556701,8630,'no'
0.057142857,0.454545455,0.234042553,0.020145495,0.235955056,0.088367899,0.569444444,0.73125,0.68556701,2918,'no'
0.014285714,0.477272727,0.14893617,0.020145495,0.185393258,0.09023144,0.555555556,0.775,0.721649485,13490,'no'
0.614285714,0.477272727,0.255319149,0.020145495,0.039325843,0.09251578,0.041666667,0.9625,0.969072165,7352,'no'
0.971428571,0.488636364,0.723404255,0.022383884,0.325842697,0.088428013,0,0.70625,0.768041237,14025,'no'
0.057142857,0.477272727,0.191489362,0.020705092,0.235955056,0.088428013,0.541666667,0.725,0.68556701,10971,'no'
0.685714286,0.471590909,0.361702128,0.019026301,0.123595506,0.087947099,0.027777778,0.878125,0.907216495,12786,'no'
0.071428571,0.488636364,0.319148936,0.020145495,0.235955056,0.088428013,0.611111111,0.74375,0.68556701,14265,'no'
0.085714286,0.505681818,0.106382979,0.020145495,0.247191011,0.088428013,0.458333333,0.70625,0.680412371,6394,'no'
0.285714286,0.477272727,0.127659574,0.020145495,0.112359551,0.089630298,0.277777778,0.8625,0.845360825,7550,'no'
0.6,0.477272727,0.234042553,0.017907107,0.016853933,0.088428013,0.041666667,0.98125,0.989690722,1786,'no'
0.071428571,0.477272727,0.127659574,0.020145495,0.235955056,0.087766757,0.486111111,0.71875,0.68556701,13912,'no'
0.014285714,0.477272727,0.212765957,0.019585898,0.230337079,0.088367899,0.597222222,0.734375,0.680412371,4489,'no'
0.285714286,0.477272727,0.510638298,0.018466704,0.286516854,0.088848813,0.541666667,0.71875,0.680412371,7373,'no'
0.014285714,0.465909091,0.234042553,0.020145495,0.230337079,0.088428013,0.611111111,0.740625,0.680412371,13386,'no'
0.128571429,0.477272727,0.212765957,0.019026301,0.252808989,0.088067328,0.486111111,0.7125,0.68556701,1980,'no'
0.214285714,0.477272727,0.319148936,0.019026301,0.269662921,0.088307785,0.486111111,0.7125,0.68556701,5795,'no'
0.114285714,0.477272727,0.212765957,0.020145495,0.247191011,0.087766757,0.513888889,0.721875,0.68556701,3112,'no'
0.128571429,0.443181818,0.212765957,0.020145495,0.252808989,0.088428013,0.486111111,0.7125,0.68556701,4735,'no'
0.071428571,0.477272727,0.553191489,0.020145495,0.247191011,0.089329726,0.763888889,0.76875,0.680412371,4593,'no'
0.114285714,0.477272727,0.29787234,0.023503078,0.252808989,0.08866847,0.555555556,0.725,0.680412371,3427,'no'
0.2,0.454545455,0.319148936,0.022383884,0.269662921,0.088428013,0.486111111,0.7125,0.680412371,9445,'no'
0.614285714,0.477272727,0.255319149,0.020145495,0.016853933,0.087826871,0.041666667,0.9875,0.989690722,2561,'no'
0.171428571,0.477272727,0.234042553,0.019585898,0.258426966,0.088428013,0.458333333,0.70625,0.68556701,8574,'no'
0.014285714,0.477272727,0.70212766,0.021824287,0.196629213,0.088428013,0.902777778,0.846875,0.716494845,3049,'no'
0.114285714,0.488636364,0.255319149,0.020145495,0.247191011,0.086804929,0.527777778,0.725,0.68556701,782,'no'
0.214285714,0.477272727,0.319148936,0.020145495,0.275280899,0.088908927,0.486111111,0.70625,0.680412371,12172,'no'
0.014285714,0.477272727,0.127659574,0.020145495,0.061797753,0.086684701,0.541666667,0.91875,0.840206186,4637,'no'
0.271428571,0.477272727,0.234042553,0.020145495,0.028089888,0.088608356,0.347222222,0.965625,0.917525773,5791,'no'
0.014285714,0.477272727,0.106382979,0.019585898,0.213483146,0.089389841,0.541666667,0.7375,0.695876289,11128,'no'
0.057142857,0.505681818,0.106382979,0.020145495,0.235955056,0.088428013,0.472222222,0.7125,0.68556701,2989,'no'
0.242857143,0.488636364,0.70212766,0.020145495,0.280898876,0.088608356,0.680555556,0.75,0.680412371,5082,'no'
0.014285714,0.477272727,0.191489362,0.020145495,0.207865169,0.089149384,0.583333333,0.759375,0.701030928,13444,'no'
0.285714286,0.477272727,0.510638298,0.020145495,0.269662921,0.086985272,0.527777778,0.740625,0.695876289,9415,'no'
0.157142857,0.454545455,0.212765957,0.021824287,0.258426966,0.088428013,0.458333333,0.70625,0.680412371,3020,'no'
0.071428571,0.477272727,0.255319149,0.021824287,0.247191011,0.088428013,0.569444444,0.728125,0.680412371,2127,'no'
0.014285714,0.477272727,0.106382979,0.019585898,0.174157303,0.08866847,0.527777778,0.7875,0.737113402,4832,'no'
0.071428571,0.477272727,0.340425532,0.023503078,0.235955056,0.088187556,0.625,0.746875,0.68556701,10161,'no'
0.342857143,0.477272727,0.808510638,0.018466704,0.297752809,0.088428013,0.666666667,0.75,0.680412371,4686,'no'
